Wavelength(nm)	Absorbance
189.771194	-0.000000
190.239868	-0.000000
190.708527	-0.000000
191.177170	-0.000000
191.645782	-0.000000
192.114365	-0.000000
192.582932	-0.000000
193.051483	-0.000000
193.520004	-0.000000
193.988510	-0.000000
194.456985	-0.000000
194.925446	-0.000000
195.393890	-0.000000
195.862305	-0.000000
196.330688	-0.000000
196.799057	-0.000000
197.267410	-0.000000
197.735733	-0.000000
198.204041	-0.000000
198.672318	-0.000000
199.140579	-0.000000
199.608826	-0.000000
200.077042	-0.000000
200.545227	-0.000000
201.013412	-0.000000
201.481552	-0.000000
201.949692	-0.000000
202.417786	-0.000000
202.885880	-0.000000
203.353943	-0.000000
203.821976	-0.000000
204.289993	-0.000000
204.757996	-0.000000
205.225967	-0.000000
205.693924	-0.000000
206.161850	-0.000000
206.629761	-0.000000
207.097641	-0.000000
207.565506	-0.000000
208.033356	-0.000000
208.501175	-0.000000
208.968964	-0.000000
209.436752	-0.000000
209.904495	-0.000000
210.372223	-0.000000
210.839935	-0.000000
211.307632	-0.000000
211.775299	-0.000000
212.242935	-0.000000
212.710556	-0.000000
213.178162	-0.000000
213.645737	-0.000000
214.113281	-0.000000
214.580811	-0.000000
215.048325	-0.000000
215.515823	-0.000000
215.983276	-0.000000
216.450729	-0.000000
216.918152	-0.000000
217.385544	-0.000000
217.852921	-0.000000
218.320282	-0.000000
218.787613	-0.000000
219.254929	-0.000000
219.722214	-0.000000
220.189484	-0.000000
220.656723	-0.000000
221.123947	-0.000000
221.591141	-0.000000
222.058319	-0.000000
222.525482	-0.000000
222.992615	-0.000000
223.459717	-0.000000
223.926819	-0.000000
224.393875	-0.000000
224.860931	-0.000000
225.327942	-0.000000
225.794952	-0.000000
226.261932	-0.000000
226.728882	-0.000000
227.195816	-0.000000
227.662720	-0.000000
228.129608	-0.000000
228.596481	-0.000000
229.063324	-0.000000
229.530151	-0.000000
229.996948	-0.000000
230.463730	-0.000000
230.930481	-0.000000
231.397217	-0.000000
231.863922	-0.000000
232.330612	-0.000000
232.797272	-0.000000
233.263916	-0.000000
233.730545	-0.000000
234.197144	-0.000000
234.663727	-0.000000
235.130280	-0.000000
235.596802	-0.000000
236.063324	-0.000000
236.529816	-0.000000
236.996277	-0.000000
237.462723	-0.000000
237.929138	-0.000000
238.395538	-0.000000
238.861908	-0.000000
239.328262	-0.000000
239.794601	-0.000000
240.260910	-0.000000
240.727188	-0.000000
241.193466	-0.000000
241.659698	-0.000000
242.125916	-0.000000
242.592117	-0.000000
243.058289	-0.000000
243.524445	-0.000000
243.990570	-0.000000
244.456680	-0.000000
244.922775	-0.000000
245.388840	-0.000000
245.854874	-0.000000
246.320892	-0.000000
246.786896	-0.000000
247.252869	-0.000000
247.718811	-0.000000
248.184738	-0.000000
248.650650	-0.000000
249.116531	-0.000000
249.582397	-0.000000
250.048233	-0.000000
250.514053	-0.000000
250.979843	-0.000000
251.445618	-0.000000
251.911362	-0.000000
252.377090	-0.000000
252.842804	-0.000000
253.308472	-0.000000
253.774139	-0.000000
254.239777	-0.000000
254.705383	-0.000000
255.170990	-0.000000
255.636551	-0.000000
256.102112	-0.000000
256.567627	-0.000000
257.033142	-0.000000
257.498596	-0.000000
257.964050	-0.000000
258.429504	-0.000000
258.894897	-0.000000
259.360291	-0.000000
259.825684	-0.000000
260.291016	-0.000000
260.756348	-0.000000
261.221619	-0.000000
261.686920	-0.000000
262.152161	-0.000000
262.617401	-0.000000
263.082611	-0.000000
263.547791	-0.000000
264.012939	-0.000000
264.478088	-0.000000
264.943207	-0.000000
265.408325	-0.000000
265.873383	-0.000000
266.338440	-0.000000
266.803467	-0.000000
267.268494	-0.000000
267.733459	-0.000000
268.198425	-0.000000
268.663361	-0.000000
269.128265	-0.000000
269.593170	-0.000000
270.058044	-0.000000
270.522888	-0.000000
270.987732	-0.000000
271.452515	-0.000000
271.917297	-0.000000
272.382050	-0.000000
272.846802	-0.000000
273.311523	-0.000000
273.776184	-0.000000
274.240845	-0.000000
274.705505	-0.000000
275.170135	-0.000000
275.634735	-0.000000
276.099304	-0.000000
276.563843	-0.000000
277.028381	-0.000000
277.492920	-0.000000
277.957397	-0.000000
278.421844	-0.000000
278.886292	-0.000000
279.350708	-0.000000
279.815094	-0.000000
280.279480	-0.000000
280.743835	-0.000000
281.208160	-0.000000
281.672455	-0.000000
282.136749	-0.000000
282.601013	-0.000000
283.065247	-0.000000
283.529449	-0.000000
283.993652	-0.000000
284.457825	-0.000000
284.921967	-0.000000
285.386078	-0.000000
285.850189	-0.000000
286.314270	-0.000000
286.778320	-0.000000
287.242340	-0.000000
287.706360	-0.000000
288.170349	-0.000000
288.634308	-0.000000
289.098236	-0.000000
289.562164	-0.000000
290.026062	-0.000000
290.489929	-0.000000
290.953796	-0.000000
291.417603	-0.000000
291.881409	-0.000000
292.345215	-0.000000
292.808960	-0.000000
293.272705	-0.000000
293.736389	-0.000000
294.200104	-0.000000
294.663757	-0.000000
295.127411	-0.000000
295.591034	-0.000000
296.054626	-0.000000
296.518219	-0.000000
296.981750	-0.000000
297.445312	-0.000000
297.908813	-0.000000
298.372284	-0.000000
298.835754	-0.000000
299.299194	-0.000000
299.762604	-0.000000
300.226013	-0.000000
300.689362	-0.000000
301.152710	-0.000000
301.616028	-0.000000
302.079346	-0.000000
302.542633	-0.000000
303.005890	-0.000000
303.469116	-0.000000
303.932312	-0.000000
304.395508	-0.000000
304.858673	-0.000000
305.321838	-0.000000
305.784943	-0.000000
306.248047	-0.000000
306.711121	-0.000000
307.174164	-0.000000
307.637207	-0.000000
308.100189	-0.000000
308.563171	-0.000000
309.026123	-0.000000
309.489075	-0.000000
309.951996	-0.000000
310.414856	-0.000000
310.877747	-0.000000
311.340576	-0.000000
311.803406	-0.000000
312.266205	-0.000000
312.728973	-0.000000
313.191742	-0.000000
313.654480	-0.000000
314.117188	-0.000000
314.579865	-0.000000
315.042511	-0.000000
315.505157	-0.000000
315.967773	-0.000000
316.430359	-0.000000
316.892944	-0.000000
317.355469	-0.000000
317.817993	-0.000000
318.280518	-0.000000
318.742981	-0.000000
319.205444	-0.000000
319.667847	-0.000000
320.130249	-0.000000
320.592651	-0.000000
321.054993	-0.000000
321.517334	-0.000000
321.979675	-0.000000
322.441956	-0.000000
322.904236	-0.000000
323.366455	-0.000000
323.828674	-0.000000
324.290894	-0.000000
324.753052	-0.000000
325.215240	-0.000000
325.677368	-0.000000
326.139465	-0.000000
326.601562	-0.000000
327.063599	-0.000000
327.525635	-0.000000
327.987671	-0.000000
328.449677	-0.000000
328.911621	-0.000000
329.373596	-0.000000
329.835510	-0.000000
330.297424	-0.000000
330.759277	-0.000000
331.221130	-0.000000
331.682983	-0.000000
332.144775	-0.000000
332.606567	-0.000000
333.068298	-0.000000
333.530060	-0.000000
333.991760	-0.000000
334.453461	-0.000000
334.915161	-0.000000
335.376770	-0.000000
335.838409	-0.000000
336.299988	-0.000000
336.761597	-0.000000
337.223145	-0.000000
337.684662	-0.000000
338.146179	-0.000000
338.607666	-0.000000
339.069092	-0.000000
339.530548	-0.000000
339.991943	-0.000000
340.453369	-0.000000
340.914734	-0.000000
341.376068	-0.000000
341.837402	-0.000000
342.298706	-0.000000
342.759949	-0.000000
343.221222	-0.000000
343.682434	-0.000000
344.143677	-0.000000
344.604828	-0.000000
345.065979	-0.000000
345.527130	-0.000000
345.988251	-0.000000
346.449341	-0.000000
346.910400	-0.000000
347.371460	-0.000000
347.832458	-0.000000
348.293457	-0.000000
348.754456	-0.000000
349.215393	-0.000000
349.676300	-0.000000
350.137207	-0.000000
350.598083	-0.000000
351.058960	-0.000000
351.519775	-0.000000
351.980591	-0.000000
352.441376	-0.000000
352.902161	-0.000000
353.362854	-0.000000
353.823608	-0.000000
354.284302	-0.000000
354.744965	-0.000000
355.205627	-0.000000
355.666229	-0.000000
356.126831	-0.000000
356.587402	-0.000000
357.047974	-0.000000
357.508484	-0.000000
357.968994	-0.000000
358.429504	-0.000000
358.889954	-0.000000
359.350372	-0.000000
359.810791	-0.000000
360.271179	-0.000000
360.731567	-0.000000
361.191895	-0.000000
361.652222	-0.000000
362.112518	-0.000000
362.572784	-0.000000
363.033020	-0.000000
363.493256	-0.000000
363.953461	-0.000000
364.413635	-0.000000
364.873779	-0.000000
